Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$0.6M,Uk,Usa,112,Medium,1905,Qtr 3,July,11,7,Port Jennifer,1905,Open-Architected Uniform Flexibility,Manned,3,Research,84,Nuclear Propulsion
$27.3M,"Uk, China",China,7,High,1905,Qtr 2,June,28,6,West John,1905,Implemented Web-Enabled Paradigm,Unmanned,2,Navigation,69,Ai Navigation
$46.3M,"Uk, China",China,180,High,1905,Qtr 3,July,13,7,Rodriguezborough,1905,Sharable Empowering Website,Unmanned,3,Navigation,74,Traditional Rocket
$19.2M,"Uk, China",France,242,High,1905,Qtr 3,July,10,7,West Brian,1905,Business-Focused Reciprocal Methodology,Manned,3,Spy,57,Traditional Rocket
$15.4M,"Uk, China",France,351,High,1905,Qtr 3,July,14,7,Frankport,1905,Sharable 6Thgeneration Complexity,Unmanned,3,Spy,98,Nuclear Propulsion
$45.7M,"Uk, China",France,7,Medium,1905,Qtr 2,June,24,6,New Jeremy,1905,Public-Key Needs-Based Attitude,Unmanned,2,Weather,52,Reusable Rocket
$27.8M,"Uk, China",Germany,183,High,1905,Qtr 3,July,15,7,Higginsland,1905,User-Centric Fault-Tolerant Frame,Manned,3,Communication,60,Reusable Rocket
$22.3M,"Uk, China",India,337,Low,1905,Qtr 3,July,15,7,New Eric,1905,Enhanced Responsive Capacity,Unmanned,3,Weather,51,Solar Propulsion
$26.1M,"Uk, China",India,307,Medium,1905,Qtr 3,July,16,7,Lake Hannah,1905,Down-Sized Systemic Leverage,Unmanned,3,Communication,73,Nuclear Propulsion
$16.9M,"Uk, China",Israel,110,High,1905,Qtr 3,July,2,7,Susanmouth,1905,Persistent Homogeneous Infrastructure,Manned,3,Weather,81,Nuclear Propulsion
$47.0M,"Uk, China",Uae,274,High,1905,Qtr 3,July,2,7,West James,1905,Function-Based Needs-Based Alliance,Unmanned,3,Spy,78,Ai Navigation
$20.0M,"Uk, China",Uae,330,High,1905,Qtr 3,July,5,7,East Lauren,1905,Integrated Encompassing Focus Group,Unmanned,3,Spy,86,Reusable Rocket
$31.1M,"Uk, China, Germany",Russia,33,Medium,1905,Qtr 2,June,22,6,Seanborough,1905,Synchronized Tertiary Alliance,Unmanned,2,Communication,86,Reusable Rocket
$13.6M,"Uk, China, India",Japan,223,High,1905,Qtr 3,July,10,7,Monicatown,1905,Digitized Multi-State Initiative,Unmanned,3,Spy,51,Nuclear Propulsion
$20.7M,"Uk, China, Israel",India,210,High,1905,Qtr 3,July,7,7,Jonesmouth,1905,Grass-Roots Intermediate Graphic Interface,Unmanned,3,Navigation,76,Traditional Rocket
$34.6M,"Uk, China, Israel",Japan,58,Medium,1905,Qtr 3,July,14,7,Nicholsshire,1905,Enterprise-Wide Asynchronous Archive,Manned,3,Research,52,Nuclear Propulsion
$40.3M,"Uk, China, Japan",Uae,15,Medium,1905,Qtr 2,June,24,6,East Davidburgh,1905,Team-Oriented Directional Flexibility,Unmanned,2,Research,62,Traditional Rocket
$47.7M,"Uk, China, Russia",Uae,183,Low,1905,Qtr 3,July,4,7,South Jacob,1905,Organic Empowering Contingency,Unmanned,3,Communication,72,Ai Navigation
$36.2M,"Uk, China, Uae",Germany,101,High,1905,Qtr 2,June,30,6,Gardnerside,1905,Streamlined Multi-Tasking Matrix,Unmanned,2,Communication,93,Solar Propulsion
$6.2M,"Uk, France",China,189,High,1905,Qtr 3,July,6,7,North Williamside,1905,Profound Multi-Tasking Encoding,Unmanned,3,Weather,86,Nuclear Propulsion
$14.7M,"Uk, France",France,266,Low,1905,Qtr 3,July,6,7,Martinview,1905,Enterprise-Wide Zero Administration Policy,Manned,3,Spy,67,Nuclear Propulsion
$16.7M,"Uk, France",France,21,Medium,1905,Qtr 2,June,29,6,Kevinview,1905,Fully-Configurable Responsive Projection,Unmanned,2,Research,94,Nuclear Propulsion
$14.7M,"Uk, France",Germany,132,Low,1905,Qtr 3,July,3,7,Hestermouth,1905,Centralized Real-Time Matrix,Manned,3,Research,97,Nuclear Propulsion
$29.0M,"Uk, France",India,205,High,1905,Qtr 2,June,22,6,Lake Gail,1905,Public-Key Leadingedge Artificial Intelligence,Manned,2,Weather,86,Nuclear Propulsion
$27.9M,"Uk, France",India,196,Medium,1905,Qtr 3,July,5,7,South Danielle,1905,Team-Oriented National Benchmark,Unmanned,3,Weather,97,Reusable Rocket
$35.6M,"Uk, France",Israel,226,High,1905,Qtr 3,July,3,7,Leefort,1905,Visionary High-Level Throughput,Manned,3,Communication,72,Nuclear Propulsion
$9.7M,"Uk, France",Japan,124,High,1905,Qtr 2,June,28,6,Port James,1905,Switchable Analyzing Solution,Manned,2,Weather,100,Nuclear Propulsion
$2.6M,"Uk, France",Russia,57,Medium,1905,Qtr 2,June,23,6,Port Kathleen,1905,Multi-Lateral Zero Administration Paradigm,Manned,2,Research,97,Ai Navigation
$10.6M,"Uk, France",Uk,194,Medium,1905,Qtr 3,July,9,7,Jeffview,1905,Fully-Configurable Zero Administration Service-Desk,Unmanned,3,Research,99,Nuclear Propulsion
$46.7M,"Uk, France, China",India,168,Medium,1905,Qtr 2,June,30,6,Joelview,1905,Multi-Tiered Multi-State Matrix,Unmanned,2,Weather,94,Solar Propulsion
$10.8M,"Uk, France, China",Russia,343,High,1905,Qtr 3,July,12,7,South Ryan,1905,Versatile Empowering Initiative,Unmanned,3,Research,91,Traditional Rocket
$12.5M,"Uk, France, Germany",Germany,354,High,1905,Qtr 3,July,5,7,Laceyfort,1905,Grass-Roots Empowering Open Architecture,Manned,3,Spy,55,Nuclear Propulsion
$40.4M,"Uk, France, Germany",Japan,203,Medium,1905,Qtr 3,July,7,7,East Joshua,1905,Upgradable Modular Help-Desk,Manned,3,Research,99,Reusable Rocket
$17.4M,"Uk, France, India",China,13,High,1905,Qtr 3,July,10,7,Lake Ryanborough,1905,Expanded Real-Time Function,Manned,3,Spy,100,Nuclear Propulsion
$31.6M,"Uk, France, India",France,158,Low,1905,Qtr 3,July,9,7,West Doris,1905,Upgradable Dynamic Contingency,Unmanned,3,Research,96,Reusable Rocket
$44.6M,"Uk, France, India",India,76,Low,1905,Qtr 3,July,12,7,Tammyberg,1905,Fully-Configurable Multimedia Benchmark,Unmanned,3,Spy,61,Traditional Rocket
$0.8M,"Uk, France, India",India,124,Medium,1905,Qtr 3,July,7,7,Spencerview,1905,Operative Static Hierarchy,Manned,3,Communication,94,Solar Propulsion
$9.8M,"Uk, France, Israel",Germany,304,Medium,1905,Qtr 3,July,3,7,Jenningsfort,1905,Advanced Executive Leverage,Manned,3,Navigation,83,Traditional Rocket
$14.7M,"Uk, France, Israel",Uae,26,High,1905,Qtr 3,July,7,7,Michaelview,1905,Quality-Focused Contextually-Based Software,Manned,3,Navigation,60,Traditional Rocket
$49.5M,"Uk, France, Usa",Uk,1,Low,1905,Qtr 3,July,6,7,Kirbyside,1905,Synchronized Optimal Website,Manned,3,Research,84,Reusable Rocket
$34.4M,"Uk, Germany",China,6,Low,1905,Qtr 3,July,10,7,Lake Brian,1905,Function-Based Systemic Website,Manned,3,Communication,97,Reusable Rocket
$48.7M,"Uk, Germany",China,158,Medium,1905,Qtr 3,July,10,7,Port Jamesberg,1905,Profit-Focused Neutral Database,Unmanned,3,Spy,61,Nuclear Propulsion
$3.3M,"Uk, Germany",France,116,Medium,1905,Qtr 2,June,29,6,West Brandonfurt,1905,Synchronized Systematic System Engine,Manned,2,Communication,70,Traditional Rocket
$11.4M,"Uk, Germany",Germany,342,High,1905,Qtr 3,July,9,7,Port Douglasburgh,1905,Distributed 24Hour Model,Unmanned,3,Research,85,Nuclear Propulsion
$49.8M,"Uk, Germany",India,325,Low,1905,Qtr 3,July,2,7,Joshuahaven,1905,Down-Sized Transitional Adapter,Unmanned,3,Communication,98,Nuclear Propulsion
$19.3M,"Uk, Germany",Israel,277,Low,1905,Qtr 3,July,8,7,New Jacksonshire,1905,Realigned Coherent Architecture,Manned,3,Navigation,80,Ai Navigation
$21.9M,"Uk, Germany",Japan,243,Medium,1905,Qtr 2,June,24,6,South Kathrynland,1905,Cross-Platform Eco-Centric Groupware,Manned,2,Communication,93,Nuclear Propulsion
$38.1M,"Uk, Germany",Japan,20,Medium,1905,Qtr 2,June,27,6,West Sherry,1905,Digitized Heuristic Groupware,Unmanned,2,Communication,69,Solar Propulsion
$31.4M,"Uk, Germany",Russia,85,Medium,1905,Qtr 3,July,17,7,South Johnnyburgh,1905,User-Centric Next Generation Product,Manned,3,Research,78,Reusable Rocket
$49.5M,"Uk, Germany",Uae,29,High,1905,Qtr 2,June,28,6,East Sharon,1905,Pre-Emptive Impactful Infrastructure,Manned,2,Communication,97,Nuclear Propulsion
$45.3M,"Uk, Germany",Uae,260,High,1905,Qtr 3,July,11,7,West Pamelaton,1905,Front-Line Even-Keeled Help-Desk,Unmanned,3,Weather,87,Ai Navigation
$11.0M,"Uk, Germany",Uae,134,Medium,1905,Qtr 2,June,27,6,West Yolanda,1905,Synergized Hybrid Hardware,Manned,2,Weather,52,Nuclear Propulsion
$24.0M,"Uk, Germany",Uae,193,Medium,1905,Qtr 3,July,11,7,Lake John,1905,User-Centric Real-Time Local Area Network,Manned,3,Communication,73,Solar Propulsion
$32.6M,"Uk, Germany",Uk,222,High,1905,Qtr 3,July,16,7,Hernandeztown,1905,Synergistic Uniform Standardization,Manned,3,Spy,50,Reusable Rocket
$11.9M,"Uk, Germany",Usa,295,Medium,1905,Qtr 3,July,11,7,South John,1905,Ameliorated Local Extranet,Unmanned,3,Spy,63,Nuclear Propulsion
$33.2M,"Uk, Germany, China",France,221,High,1905,Qtr 3,July,8,7,Amandastad,1905,Multi-Lateral Composite Budgetary Management,Manned,3,Weather,63,Reusable Rocket
$49.7M,"Uk, Germany, France",Japan,161,Medium,1905,Qtr 3,July,6,7,Lindsaystad,1905,Universal Cohesive Hierarchy,Manned,3,Weather,95,Reusable Rocket
$36.9M,"Uk, Germany, France",Uk,139,Medium,1905,Qtr 3,July,1,7,Lake Laurenton,1905,Self-Enabling Object-Oriented Synergy,Manned,3,Weather,73,Nuclear Propulsion
$41.6M,"Uk, Germany, India",China,157,Medium,1905,Qtr 2,June,27,6,South Ashley,1905,Exclusive Composite Website,Unmanned,2,Weather,53,Ai Navigation
$17.9M,"Uk, Germany, India",Russia,324,Low,1905,Qtr 3,July,10,7,Garrettfurt,1905,Down-Sized Explicit Focus Group,Unmanned,3,Research,91,Traditional Rocket
$20.3M,"Uk, Germany, Japan",Israel,2,High,1905,Qtr 2,June,22,6,North Michellefurt,1905,Organized Content-Based Architecture,Unmanned,2,Navigation,66,Solar Propulsion
$10.6M,"Uk, Germany, Japan",Israel,363,Medium,1905,Qtr 2,June,28,6,Port Timothy,1905,Decentralized Methodical Standardization,Unmanned,2,Research,97,Solar Propulsion
$21.5M,"Uk, Germany, Japan",Usa,109,High,1905,Qtr 3,July,11,7,Orozcoport,1905,Down-Sized Discrete Hardware,Manned,3,Weather,83,Solar Propulsion
$49.5M,"Uk, Germany, Russia",China,312,High,1905,Qtr 3,July,17,7,Michelleland,1905,Proactive Regional Secured Line,Unmanned,3,Communication,67,Ai Navigation
$12.0M,"Uk, Germany, Russia",France,176,High,1905,Qtr 2,June,26,6,Joshuaburgh,1905,Enhanced 6Thgeneration Installation,Manned,2,Research,51,Reusable Rocket
$3.9M,"Uk, Germany, Russia",Japan,96,Low,1905,Qtr 2,June,25,6,Lake Daisy,1905,Customer-Focused 3Rdgeneration Model,Unmanned,2,Communication,87,Reusable Rocket
$39.0M,"Uk, Germany, Russia",Japan,284,Low,1905,Qtr 3,July,4,7,Taylorhaven,1905,Versatile Bifurcated Open Architecture,Unmanned,3,Research,72,Reusable Rocket
$36.9M,"Uk, Germany, Uae",China,108,High,1905,Qtr 3,July,5,7,Jasonshire,1905,Automated Bandwidth-Monitored Graphic Interface,Unmanned,3,Communication,80,Nuclear Propulsion
$24.3M,"Uk, Germany, Uae",Germany,139,Low,1905,Qtr 3,July,14,7,Lake Kyle,1905,Synergized Clear-Thinking Encoding,Unmanned,3,Research,85,Ai Navigation
$8.6M,"Uk, Germany, Usa",Usa,88,Medium,1905,Qtr 2,June,23,6,Burnstown,1905,Exclusive Fresh-Thinking Moratorium,Unmanned,2,Research,87,Reusable Rocket
$32.0M,"Uk, India",China,206,Medium,1905,Qtr 3,July,8,7,West Joshua,1905,Customizable Systemic Website,Manned,3,Weather,69,Traditional Rocket
$47.1M,"Uk, India",France,139,High,1905,Qtr 3,July,13,7,North Sheila,1905,Business-Focused Global Projection,Manned,3,Communication,98,Solar Propulsion
$33.7M,"Uk, India",France,221,Medium,1905,Qtr 2,June,24,6,West Erik,1905,Multi-Layered Bi-Directional Functionalities,Manned,2,Research,89,Traditional Rocket
$8.3M,"Uk, India",France,206,Medium,1905,Qtr 3,July,12,7,Savannahchester,1905,Digitized Optimizing Interface,Manned,3,Navigation,60,Traditional Rocket
$39.2M,"Uk, India",France,249,Medium,1905,Qtr 3,July,17,7,Watsonbury,1905,Diverse Cohesive Groupware,Manned,3,Communication,94,Ai Navigation
$46.8M,"Uk, India",Japan,355,High,1905,Qtr 3,July,8,7,East Angelafurt,1905,Implemented Optimal Attitude,Manned,3,Communication,70,Ai Navigation
$22.8M,"Uk, India",Japan,145,Low,1905,Qtr 3,July,13,7,Wardfurt,1905,Switchable Client-Server Open System,Unmanned,3,Spy,69,Ai Navigation
$31.1M,"Uk, India",Japan,32,Medium,1905,Qtr 3,July,11,7,Michaelton,1905,Decentralized Interactive Policy,Unmanned,3,Navigation,61,Reusable Rocket
$14.1M,"Uk, India",Russia,308,High,1905,Qtr 3,July,3,7,New Lisastad,1905,Proactive Needs-Based Extranet,Manned,3,Spy,55,Solar Propulsion
$47.4M,"Uk, India",Russia,270,Low,1905,Qtr 3,July,12,7,Melissaville,1905,Realigned Reciprocal Database,Manned,3,Research,85,Nuclear Propulsion
$7.8M,"Uk, India",Uae,278,High,1905,Qtr 3,July,16,7,Taylorhaven,1905,Assimilated 24/7 Solution,Unmanned,3,Weather,75,Traditional Rocket
$18.6M,"Uk, India",Uae,79,Low,1905,Qtr 3,July,10,7,Owensmouth,1905,Implemented Zero Tolerance Function,Manned,3,Communication,52,Nuclear Propulsion
$18.0M,"Uk, India",Uk,202,High,1905,Qtr 2,June,27,6,Angelaport,1905,Reduced Intangible Complexity,Unmanned,2,Research,57,Reusable Rocket
$47.1M,"Uk, India",Uk,257,Low,1905,Qtr 3,July,3,7,Millermouth,1905,Up-Sized Mobile Archive,Manned,3,Communication,92,Reusable Rocket
$18.0M,"Uk, India",Uk,355,Medium,1905,Qtr 2,June,26,6,Cookmouth,1905,Multi-Layered System-Worthy Open System,Manned,2,Research,89,Solar Propulsion
$18.3M,"Uk, India",Usa,244,Low,1905,Qtr 3,July,8,7,Hornstad,1905,Extended Global Collaboration,Unmanned,3,Communication,96,Traditional Rocket
$43.3M,"Uk, India, France",Israel,195,High,1905,Qtr 3,July,9,7,Paulland,1905,Reduced Regional Artificial Intelligence,Manned,3,Spy,93,Traditional Rocket
$24.6M,"Uk, India, Germany",France,214,Medium,1905,Qtr 3,July,7,7,Lopezfort,1905,Customer-Focused Multi-State Installation,Unmanned,3,Research,54,Nuclear Propulsion
$43.0M,"Uk, India, Israel",China,132,Low,1905,Qtr 2,June,26,6,New Richardfort,1905,Adaptive Heuristic Alliance,Unmanned,2,Communication,66,Nuclear Propulsion
$38.2M,"Uk, India, Israel",Israel,206,Medium,1905,Qtr 3,July,13,7,New Jeremiah,1905,Exclusive Static Orchestration,Unmanned,3,Weather,98,Solar Propulsion
$9.9M,"Uk, India, Russia",India,255,High,1905,Qtr 3,July,17,7,Stephenburgh,1905,Vision-Oriented User-Facing Software,Manned,3,Research,91,Solar Propulsion
$40.7M,"Uk, India, Russia",Usa,91,Low,1905,Qtr 3,July,7,7,Port Travis,1905,Vision-Oriented Scalable Project,Manned,3,Weather,76,Traditional Rocket
$45.7M,"Uk, Israel",China,252,Medium,1905,Qtr 2,June,22,6,South Nancy,1905,Enterprise-Wide 24Hour Data-Warehouse,Unmanned,2,Spy,62,Reusable Rocket
$42.0M,"Uk, Israel",France,202,High,1905,Qtr 3,July,6,7,Amyside,1905,Cross-Platform Mobile Instruction Set,Manned,3,Research,98,Nuclear Propulsion
$43.0M,"Uk, Israel",France,191,High,1905,Qtr 3,July,12,7,West Michael,1905,Multi-Channeled Upward-Trending Neural-Net,Manned,3,Weather,92,Nuclear Propulsion
$1.2M,"Uk, Israel",Germany,149,Low,1905,Qtr 3,July,16,7,Lake Lindaview,1905,Operative Leadingedge Frame,Unmanned,3,Communication,83,Reusable Rocket
$30.8M,"Uk, Israel",Israel,7,Medium,1905,Qtr 2,June,23,6,Alisonton,1905,Automated High-Level Moratorium,Unmanned,2,Weather,61,Solar Propulsion
$4.5M,"Uk, Israel",Uae,90,High,1905,Qtr 3,July,4,7,East Donnachester,1905,Organic Bifurcated Ability,Manned,3,Communication,54,Reusable Rocket
$41.2M,"Uk, Israel",Uae,6,High,1905,Qtr 3,July,6,7,Longland,1905,Programmable Transitional Architecture,Manned,3,Weather,63,Nuclear Propulsion
$48.3M,"Uk, Israel",Uae,163,Low,1905,Qtr 2,June,27,6,Acevedoburgh,1905,Organic Zero-Defect Methodology,Unmanned,2,Communication,60,Traditional Rocket
$15.7M,"Uk, Israel",Uae,325,Medium,1905,Qtr 3,July,1,7,East Tammy,1905,Intuitive Fault-Tolerant Array,Unmanned,3,Navigation,92,Traditional Rocket
$36.3M,"Uk, Israel",Usa,186,Medium,1905,Qtr 3,July,10,7,Woodfort,1905,De-Engineered Empowering Array,Manned,3,Research,69,Traditional Rocket
$49.9M,"Uk, Israel, China",China,192,Low,1905,Qtr 2,June,22,6,Cowanfort,1905,Horizontal Motivating Superstructure,Manned,2,Research,65,Traditional Rocket
$30.7M,"Uk, Israel, China",India,312,High,1905,Qtr 2,June,23,6,Lake Ricardo,1905,Upgradable Heuristic Budgetary Management,Manned,2,Weather,57,Ai Navigation
$32.2M,"Uk, Israel, Germany",Germany,268,Medium,1905,Qtr 2,June,24,6,North Jesse,1905,Monitored Composite Adapter,Manned,2,Research,70,Nuclear Propulsion
$11.0M,"Uk, Israel, Germany",Uk,84,Low,1905,Qtr 2,June,22,6,Jacquelinemouth,1905,Seamless Systemic Flexibility,Manned,2,Research,68,Reusable Rocket
$48.6M,"Uk, Israel, India",France,257,Medium,1905,Qtr 3,July,15,7,Lake Steven,1905,Virtual Secondary Productivity,Unmanned,3,Weather,62,Solar Propulsion
$10.1M,"Uk, Israel, India",Uk,176,High,1905,Qtr 3,July,10,7,North Stephanietown,1905,Multi-Channeled Fresh-Thinking Concept,Manned,3,Weather,53,Reusable Rocket
$35.5M,"Uk, Israel, Russia",Germany,148,Low,1905,Qtr 3,July,2,7,Barbarafurt,1905,Robust Foreground Focus Group,Manned,3,Weather,74,Ai Navigation
$22.6M,"Uk, Israel, Russia",Israel,149,Low,1905,Qtr 3,July,14,7,Thomasshire,1905,Triple-Buffered Neutral Circuit,Unmanned,3,Research,88,Ai Navigation
$6.1M,"Uk, Israel, Russia",Uk,166,Low,1905,Qtr 2,June,22,6,Kennedymouth,1905,Digitized Interactive Productivity,Unmanned,2,Communication,54,Ai Navigation
$30.2M,"Uk, Israel, Usa",France,157,Medium,1905,Qtr 3,July,5,7,Cassandrafort,1905,Pre-Emptive Reciprocal Protocol,Unmanned,3,Communication,66,Reusable Rocket
$38.2M,"Uk, Israel, Usa",Uk,244,Medium,1905,Qtr 2,June,23,6,Lake Sally,1905,Multi-Tiered Responsive Matrices,Unmanned,2,Research,77,Ai Navigation
$16.1M,"Uk, Japan",China,291,High,1905,Qtr 2,June,28,6,Thompsonland,1905,Devolved Object-Oriented Firmware,Manned,2,Navigation,52,Nuclear Propulsion
$34.0M,"Uk, Japan",China,158,Low,1905,Qtr 3,July,3,7,Briannamouth,1905,Open-Source Real-Time Open Architecture,Manned,3,Weather,53,Traditional Rocket
$35.3M,"Uk, Japan",China,348,Medium,1905,Qtr 3,July,9,7,Laurastad,1905,Function-Based Human-Resource Hierarchy,Manned,3,Navigation,73,Nuclear Propulsion
$1.5M,"Uk, Japan",France,297,Low,1905,Qtr 3,July,6,7,Parktown,1905,Devolved Secondary Access,Manned,3,Spy,58,Solar Propulsion
$13.5M,"Uk, Japan",Germany,173,Low,1905,Qtr 2,June,30,6,Cruzport,1905,Ameliorated Non-Volatile Leverage,Manned,2,Weather,91,Solar Propulsion
$17.9M,"Uk, Japan",Israel,21,Medium,1905,Qtr 3,July,10,7,Brittanyfort,1905,Phased Client-Driven Customer Loyalty,Unmanned,3,Spy,68,Nuclear Propulsion
$45.7M,"Uk, Japan",Israel,39,Medium,1905,Qtr 3,July,11,7,New Alyssaburgh,1905,Reactive Mission-Critical Leverage,Manned,3,Research,67,Solar Propulsion
$37.2M,"Uk, Japan",Japan,313,High,1905,Qtr 2,June,23,6,Coreyborough,1905,Configurable 3Rdgeneration Benchmark,Manned,2,Spy,59,Solar Propulsion
$45.0M,"Uk, Japan",Japan,202,Low,1905,Qtr 3,July,12,7,New Stephanie,1905,Front-Line Disintermediate Framework,Unmanned,3,Spy,91,Reusable Rocket
$21.1M,"Uk, Japan",Russia,302,Medium,1905,Qtr 2,June,23,6,Port Josephview,1905,Business-Focused Reciprocal Adapter,Unmanned,2,Weather,77,Traditional Rocket
$13.1M,"Uk, Japan",Russia,271,Medium,1905,Qtr 3,July,11,7,Sandrabury,1905,Enhanced Zero Administration Methodology,Manned,3,Weather,55,Ai Navigation
$14.7M,"Uk, Japan",Uae,297,Low,1905,Qtr 2,June,29,6,Edwardton,1905,De-Engineered Optimal Hardware,Manned,2,Research,87,Nuclear Propulsion
$13.7M,"Uk, Japan",Uk,260,High,1905,Qtr 2,June,23,6,New Elizabeth,1905,Implemented Eco-Centric Architecture,Manned,2,Communication,75,Traditional Rocket
$34.0M,"Uk, Japan",Usa,153,High,1905,Qtr 2,June,23,6,Lake Dalton,1905,Multi-Tiered Global Attitude,Manned,2,Navigation,50,Traditional Rocket
$29.7M,"Uk, Japan",Usa,309,Medium,1905,Qtr 3,July,12,7,Lawrenceside,1905,Devolved Client-Driven Paradigm,Manned,3,Communication,79,Reusable Rocket
$13.9M,"Uk, Japan, China",Germany,58,Low,1905,Qtr 2,June,28,6,Amyview,1905,Down-Sized Asynchronous Functionalities,Unmanned,2,Navigation,52,Traditional Rocket
$5.0M,"Uk, Japan, India",China,90,Low,1905,Qtr 3,July,12,7,West Bradleyside,1905,Compatible Actuating Circuit,Manned,3,Weather,99,Nuclear Propulsion
$28.2M,"Uk, Japan, India",Israel,38,Low,1905,Qtr 3,July,2,7,North Richard,1905,User-Centric Hybrid Utilization,Unmanned,3,Spy,53,Ai Navigation
$26.2M,"Uk, Japan, India",Usa,241,High,1905,Qtr 2,June,30,6,Lake Davidmouth,1905,Virtual Cohesive Moderator,Unmanned,2,Communication,59,Nuclear Propulsion
$8.9M,"Uk, Japan, Israel",China,110,High,1905,Qtr 2,June,30,6,Jordanburgh,1905,Front-Line Maximized Architecture,Unmanned,2,Communication,57,Nuclear Propulsion
$24.6M,"Uk, Japan, Israel",Usa,330,Low,1905,Qtr 3,July,9,7,Port Anthonyland,1905,Robust Well-Modulated Approach,Unmanned,3,Spy,87,Ai Navigation
$29.4M,"Uk, Japan, Uae",China,29,High,1905,Qtr 2,June,30,6,West Karen,1905,Re-Contextualized Coherent Initiative,Unmanned,2,Communication,77,Reusable Rocket
$13.2M,"Uk, Japan, Uae",Japan,221,Medium,1905,Qtr 3,July,8,7,South Donaldborough,1905,Virtual Dynamic Intranet,Unmanned,3,Spy,94,Solar Propulsion
$7.0M,"Uk, Japan, Uae",Usa,53,Medium,1905,Qtr 3,July,11,7,Fernandezview,1905,Re-Contextualized Directional Service-Desk,Unmanned,3,Research,67,Nuclear Propulsion
$10.6M,"Uk, Japan, Usa",China,77,High,1905,Qtr 2,June,28,6,Edwardsmouth,1905,Digitized Multi-State Neural-Net,Manned,2,Weather,97,Ai Navigation
$12.6M,"Uk, Russia",China,69,High,1905,Qtr 2,June,24,6,New Matthewport,1905,Reactive Eco-Centric Attitude,Manned,2,Weather,87,Solar Propulsion
$11.9M,"Uk, Russia",China,233,High,1905,Qtr 2,June,26,6,Lake Anneberg,1905,Decentralized Holistic Throughput,Unmanned,2,Weather,94,Nuclear Propulsion
$16.8M,"Uk, Russia",China,353,Low,1905,Qtr 2,June,29,6,Shannonfort,1905,Seamless Non-Volatile Access,Unmanned,2,Communication,72,Ai Navigation
$22.1M,"Uk, Russia",Japan,60,Low,1905,Qtr 3,July,15,7,New William,1905,Polarized Directional Service-Desk,Manned,3,Spy,60,Traditional Rocket
$37.3M,"Uk, Russia",Russia,280,High,1905,Qtr 2,June,30,6,Nelsonberg,1905,Advanced Bi-Directional Matrix,Manned,2,Navigation,54,Solar Propulsion
$24.7M,"Uk, Russia",Russia,307,Medium,1905,Qtr 2,June,29,6,Lake Mariaside,1905,Cross-Group Mission-Critical Workforce,Unmanned,2,Research,93,Ai Navigation
$36.4M,"Uk, Russia",Russia,111,Medium,1905,Qtr 3,July,9,7,South Tamara,1905,Proactive 3Rdgeneration Flexibility,Unmanned,3,Communication,84,Reusable Rocket
